Term	Count	Per million
church	90	5415.4883
god	50	3008.6045
bible	43	2587.4
texas	38	2286.5393
worship	35	2106.0232
christ	33	1985.6792
oct	32	1925.507
foundation	27	1624.6465
nd	27	1624.6465
man	26	1564.4745
work	26	1564.4745
people	25	1504.3022
religious	25	1504.3022
christian	24	1444.1302
firm	24	1444.1302
gospel	24	1444.1302
home	24	1444.1302
jesus	24	1444.1302
meeting	22	1323.786
music	22	1323.786
prayer	22	1323.786
life	21	1263.6139
th	21	1263.6139
way	21	1263.6139
years	21	1263.6139
good	20	1203.4419
ll	20	1203.4419
baptized	19	1143.2697
brethren	19	1143.2697
aged	18	1083.0977
today	18	1083.0977
heaven	16	962.7535
truth	16	962.7535
make	15	902.58136
teaching	15	902.58136
time	15	902.58136
world	15	902.58136
box	14	842.40924
college	14	842.40924
congregation	14	842.40924
doing	14	842.40924
glory	14	842.40924
love	14	842.40924
new	14	842.40924
order	14	842.40924
year	14	842.40924
ch	13	782.23724
freedom	13	782.23724
great	13	782.23724
men	13	782.23724
school	13	782.23724
unto	13	782.23724
week	13	782.23724
words	13	782.23724
1960	12	722.0651
aim	12	722.0651
brother	12	722.0651
pray	12	722.0651
prejudice	12	722.0651
service	12	722.0651
article	11	661.893
believe	11	661.893
care	11	661.893
day	11	661.893
just	11	661.893
know	11	661.893
lord	11	661.893
means	11	661.893
power	11	661.893
roman	11	661.893
shall	11	661.893
support	11	661.893
tho	11	661.893
times	11	661.893
end	10	601.72095
fund	10	601.72095
government	10	601.72095
let	10	601.72095
long	10	601.72095
need	10	601.72095
praise	10	601.72095
right	10	601.72095
study	10	601.72095
austin	9	541.5488
authority	9	541.5488
christians	9	541.5488
country	9	541.5488
elders	9	541.5488
greatest	9	541.5488
ot	9	541.5488
said	9	541.5488
say	9	541.5488
says	9	541.5488
spirit	9	541.5488
st	9	541.5488
substitute	9	541.5488
things	9	541.5488
think	9	541.5488
young	9	541.5488
1000	8	481.37674
