Term	Count	Per million
church	158	7368.3716
july	101	4710.1616
meeting	89	4150.5386
work	82	3824.0918
brother	68	3171.198
good	55	2564.9397
er	50	2331.7632
bible	49	2285.128
texas	49	2285.128
th	49	2285.128
congregation	43	2005.3163
nd	42	1958.6813
god	37	1725.5049
time	37	1725.5049
exas	36	1678.8696
new	36	1678.8696
baptist	35	1632.2344
christ	35	1632.2344
ed	35	1632.2344
school	35	1632.2344
ll	34	1585.599
box	31	1445.6932
college	28	1305.7875
year	28	1305.7875
ch	27	1259.1522
deaf	27	1259.1522
department	27	1259.1522
baptized	26	1212.517
ing	26	1212.517
preaching	26	1212.517
building	25	1165.8816
ma	25	1165.8816
people	25	1165.8816
firm	24	1119.2463
gospel	24	1119.2463
years	24	1119.2463
man	22	1025.9758
city	21	979.34064
ot	21	979.34064
way	21	979.34064
fine	20	932.7053
foundation	20	932.7053
street	20	932.7053
baptisms	19	886.07
book	19	886.07
christian	19	886.07
men	19	886.07
sin	19	886.07
word	19	886.07
ba	18	839.4348
ere	18	839.4348
life	18	839.4348
meetings	18	839.4348
night	18	839.4348
southern	18	839.4348
august	17	792.7995
baptists	17	792.7995
day	17	792.7995
love	17	792.7995
page	17	792.7995
spirit	17	792.7995
sunday	17	792.7995
world	17	792.7995
avenue	16	746.16425
baptism	16	746.16425
great	16	746.16425
preacher	16	746.16425
ve	16	746.16425
white	16	746.16425
churches	15	699.52893
class	15	699.52893
la	15	699.52893
lord	15	699.52893
young	15	699.52893
1952	14	652.89374
arkansas	14	652.89374
en	14	652.89374
ill	14	652.89374
interest	14	652.89374
john	14	652.89374
judas	14	652.89374
june	14	652.89374
present	14	652.89374
services	14	652.89374
closed	13	606.2585
fo	13	606.2585
interested	13	606.2585
just	13	606.2585
little	13	606.2585
membership	13	606.2585
number	13	606.2585
religion	13	606.2585
christians	12	559.62317
copy	12	559.62317
es	12	559.62317
ne	12	559.62317
oklahoma	12	559.62317
ted	12	559.62317
attendance	11	512.9879
classes	11	512.9879
